date,amount,category,description
2026-05-03,54.20,Groceries,Weekly shop
2026-05-07,12.99,Transport,Bus pass top-up
2026-05-11,80.00,Utilities,Electricity bill
2026-05-18,34.50,Dining,Dinner with friends
2026-05-24,22.75,Groceries,Midweek shop
2026-06-02,65.00,Utilities,Internet bill
2026-06-06,9.50,Transport,Taxi ride
2026-06-09,120.00,Health,Dental checkup
2026-06-15,48.30,Groceries,Weekly shop
2026-06-21,27.80,Dining,Brunch
2026-06-28,15.00,Entertainment,Cinema ticket
2026-07-01,42.50,Groceries,Weekly shop
2026-07-04,60.00,Utilities,Water bill
2026-07-08,18.25,Transport,Fuel
2026-07-10,95.40,Health,Pharmacy
